latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
27.53763,84.22131,329.19,0.5,0.66,2025-03-04,0639,N,VIIRS,n,2.0NRT,296.73,6.28,D
27.54609,84.22947,367,0.5,0.66,2025-03-04,0639,N,VIIRS,h,2.0NRT,297.55,17.03,D
27.54483,84.22448,349.94,0.5,0.66,2025-03-04,0639,N,VIIRS,n,2.0NRT,297.66,17.03,D
28.86143,82.42768,330.71,0.59,0.7,2025-03-04,0639,N,VIIRS,n,2.0NRT,290.89,5.2,D
27.54355,84.21946,334.78,0.5,0.66,2025-03-04,0639,N,VIIRS,n,2.0NRT,296.69,5.62,D
28.86229,82.43091,326.73,0.59,0.7,2025-03-04,0639,N,VIIRS,n,2.0NRT,290.57,5.2,D
26.50351,87.79401,328.23,0.32,0.55,2025-03-04,0639,N,VIIRS,n,2.0NRT,297.66,1.44,D
27.53738,84.24151,355.06,0.52,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,298.46,9.61,D
26.65709,86.9753,336.21,0.75,0.77,2025-03-04,0820,N,VIIRS,n,2.0NRT,293.23,13.25,D
26.65877,86.98145,336.88,0.75,0.77,2025-03-04,0820,N,VIIRS,n,2.0NRT,293.35,10.26,D
26.65841,86.97352,328.49,0.75,0.77,2025-03-04,0820,N,VIIRS,n,2.0NRT,292.91,6.29,D
26.89216,87.11231,326.98,0.77,0.77,2025-03-04,0820,N,VIIRS,n,2.0NRT,292.76,2.42,D
27.50796,85.02003,335.47,0.59,0.7,2025-03-04,0820,N,VIIRS,n,2.0NRT,296.99,4.12,D
27.50759,85.02791,331.29,0.59,0.7,2025-03-04,0820,N,VIIRS,n,2.0NRT,295.47,7.39,D
27.53809,84.25233,367,0.52,0.67,2025-03-04,0820,N,VIIRS,h,2.0NRT,305.41,20.39,D
27.53703,84.23605,367,0.52,0.67,2025-03-04,0820,N,VIIRS,h,2.0NRT,299.43,9.61,D
27.53774,84.24697,357.12,0.52,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,300.42,20.39,D
27.54436,84.25192,348.98,0.52,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,297.76,20.39,D
27.54401,84.24651,341.43,0.52,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,297.59,20.39,D
27.54366,84.24107,341.23,0.52,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,298.51,9.61,D
27.54329,84.2356,337.88,0.52,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,298.44,9.61,D
27.54294,84.23016,329.78,0.52,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,298.6,9.14,D
27.56296,84.44026,332.69,0.54,0.68,2025-03-04,0820,N,VIIRS,n,2.0NRT,296.93,2.48,D
27.54956,84.23518,333.11,0.52,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,296.57,4.47,D
27.54139,84.25389,367,0.53,0.67,2025-03-04,0820,N,VIIRS,h,2.0NRT,298.9,27.23,D
27.54074,84.24307,367,0.52,0.67,2025-03-04,0820,N,VIIRS,h,2.0NRT,300.19,16.56,D
27.54042,84.23761,367,0.52,0.67,2025-03-04,0820,N,VIIRS,h,2.0NRT,300.84,16.56,D
27.54107,84.24851,345.17,0.53,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,302.8,27.23,D
27.5401,84.23215,330.15,0.52,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,297.76,8.79,D
27.54734,84.24803,332.23,0.53,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,296.71,27.23,D
27.54669,84.23715,329.83,0.52,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,296.71,16.56,D
27.54637,84.2317,346.54,0.52,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,297.89,8.79,D
27.6216,84.22614,329.21,0.52,0.67,2025-03-04,0820,N,VIIRS,n,2.0NRT,298.91,2.73,D
27.66688,83.88254,333.58,0.5,0.66,2025-03-04,0820,N,VIIRS,n,2.0NRT,300.03,4.8,D
